"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2022","Imprisoned","Amadou Vamoulké",,"Cameroon",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/AmadouVamoulk-creditwithheld.JPG_1dc7a558-462f-4257-b6d6-0ca693787edf.jpeg","Credit withheld","Journalist","Imprisoned","N/A","Imprisoned","Staff","Cameroon Radio and Television (CRTV)","Editor, Publisher/Owner","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Radio, Television","Cameroon","Yaoundé",,,"Yaoundé",,"Local",,,,,,,,,"Retaliatory",,"Sentence Pending","Yes",,,,"Not sentenced",
"2022","Imprisoned","Amanuel Asrat",,"Eritrea",,,"Male","https://cpj-photos.s3.amazonaws.com/Amanuel%20Asrat_1-2018-01-02-1514916488565.jpg","Asrat family","Journalist","Imprisoned","N/A","Imprisoned","Staff","Zemen","Editor, Print Reporter, Publisher/Owner","Culture, Politics","Print","Eritrea",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced","Unknown"
"2022","Imprisoned","Amer Abu Arafa",,"Israel and the Occupied Palestinian Territory",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Quds Press","Internet Reporter","Human Rights, Politics","Internet","Israel and the Occupied Palestinian Territory","Ramallah",,,"Ramallah",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Amir-Abbas Azarmvand",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","SMT","Internet Reporter, Print Reporter","Business, Corruption, Politics","Internet, Print","Iran","Tehran",,,"Tehran",,"Local",,,,,,,,,"Anti-state",,"0-5 Years","Yes",,,,"4 years 4 months",
"2022","Imprisoned","Amr Ayaad (Amr Shnin)",,"Egypt",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Arab Ofok","Columnist/Commentator, Internet Reporter","Culture, Politics","Internet","Egypt","Cairo",,,"Cairo",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Andrei Aliaksandrau",,"Belarus",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Belaruski Zhurnal, BelaPAN","Editor, Publisher/Owner","Politics","Internet, Print","Belarus","Vitebsk",,,"Vitebsk",,"Local",,,,,,,,,"Anti-state, Retaliatory",,"10+ Years","No",,,,"14 years",
"2022","Imprisoned","Andrey Kuznechyk",,"Belarus",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Broadcast Reporter, Internet Reporter","Culture, Politics","Internet, Radio","Belarus","Novopolotsk",,,"Novopolotsk",,"Local",,,,,,,,,"Anti-state, No charge disclosed",,"5-10 Years","No",,,,"6 years",
"2022","Imprisoned","Andrzej Poczobut",,"Belarus",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Belsat TV, TVP Polonia","Broadcast Reporter, Columnist/Commentator, Producer","Culture, Human Rights, Politics","Television","Belarus","Hrodna",,,"Hrodna",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Angelina Roshchupko",,"Russia",,,"Female","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/Roshchupko.png_64d5fcc8-558f-4ee0-ac8b-38c8f32858b8.png","Skat Media","Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Internet Reporter","Human Rights, Politics, War","Internet","Russia","Moscow",,,"Moscow",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Arash Shoa-Shargh",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Amad News","Internet Reporter, Print Reporter","Corruption, Culture, Human Rights, Politics","Internet, Print","Iran","Rasht",,,"Rasht",,"Local",,,,,,,,,"Anti-state",,"5-10 Years","No",,,,"10 years",
"2022","Imprisoned","Aria Jaffari",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Iranian Students' News Agency (ISNA)","Photographer","Culture, Human Rights, Politics, Sports, War","Documentary Film, Internet, Print","Iran","Isfahan",,,"Isfahan",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Artyom Prokhorov",,"Russia",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Orlets","Internet Reporter, Publisher/Owner","Business, Culture, Politics","Internet","Russia","Oryol",,,"Oryol",,"Local",,,,,,,,,"Retaliatory",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Atikem Rozi",,"China",,,"Female","https://cpj-photos.s3.amazonaws.com/Atikem%20Rozi_China%20Political%20Prisoner%20Concern%20case%2000409%20-2017-12-18-1513623145070.jpg","China Political Prisoner Concern case 00409","Journalist","Imprisoned","N/A","Imprisoned","Staff","Uighurbiz","Internet Reporter","Culture, Human Rights, Politics","Internet","China",,,,,,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced","Unknown"
"2022","Imprisoned","Aung Lwin (Kan Pauk Thar)",,"Myanmar",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/AungLwin%28KanPaukThar%29-DaweiWatch%281%29.jpg_1e6a4194-4462-41d3-85d1-6fb5d5474e32.jpeg","Screenshot/Dawei Watch","Journalist","Imprisoned","N/A","Imprisoned","Staff","Dawei Watch","Internet Reporter","Human Rights, Politics","Internet","Myanmar","Dawei",,,"Dawei",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Aung San Lin",,"Myanmar",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Democratic Voice of Burma","Internet Reporter","Human Rights, Politics","Internet","Myanmar","Wetlet, Sagaing",,,"Wetlet, Sagaing",,"Local",,,,,,,,,"Anti-state",,"5-10 Years","Yes",,,,"6 years",
"2022","Imprisoned","Aung Zaw Zaw",,"Myanmar",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Mandalay Free Press","Producer","Human Rights, Politics","Internet","Myanmar",,,,,,"Local",,,,,,,,,"Anti-state, False News",,"1-5 Years","No",,,,"2 years",
"2022","Imprisoned","Austin Tice",,"United States of America",,,"Male","https://cpj-photos.s3.amazonaws.com/Austin%20Tice%20AP-2018-03-28-1522270549561.jpg","(AP Photo/Family of Austin Tice)","Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Photographer","War","Internet, Print, Radio","Syria",,,,,,"Foreign",,,,,,,,,"No charge disclosed",,"Sentence pending","No",,,,"Not sentenced",
"2022","Imprisoned","Avazmad Ghurbatov (Abdullo Ghurbati)",,"Tajikistan",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/AbdulloGhurbati%281%29.png_387b97e3-f38c-42ad-a5c6-b66d57528904.png","Ozodivideo","Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Camera Operator, Documentary Filmmaker","Human Rights","Documentary Film, Internet","Tajikistan","Dushanbe",,,"Dushanbe",,"Local",,,,,,,,,"Anti-state",,"5-10 Years","No",,,,"7.5 years",
"2022","Imprisoned","Aziz Oruç",,"Turkey",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/Diyarbakr1AzizOruc.jpg_a42d98f1-d0a8-45c6-9fd4-630b4ad09e8c.jpeg","Mezopotamya News Agency","Journalist","Imprisoned","N/A","Imprisoned","Staff","Mezopotamya News Agency","Broadcast Reporter, Editor","Corruption, Crime, Culture, Human Rights, Politics, War","Internet, Television","Turkey","Diyarbakır",,,"Diyarbakır",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Badr Mohamed Badr",,"Egypt",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Al-Jazeera Mubasher","Broadcast Reporter, Columnist/Commentator, Editor, Internet Reporter, Print Reporter","Corruption, Culture, Human Rights, Politics","Internet, Print, Television","Egypt","Cairo",,,"Cairo",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Bahaa Eldin Ibrahim Neamatalla",,"Egypt",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Al-Jazeera Mubasher","Documentary Filmmaker, Producer","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Documentary Film, Internet, Television","Egypt","Cairo",,,"Cairo",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","Yes",,,,"Not sentenced",
"2022","Imprisoned","Berivan Altan",,"Turkey",,,"Female","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/Ankara1BerivanAltan.jpg_3fdc052d-c9d9-478a-a1eb-173f6da495f7.jpeg","Mezopotamya News Agency","Journalist","Imprisoned","N/A","Imprisoned","Staff","Mezopotamya News Agency","Internet Reporter","Crime, Human Rights, Politics, War","Internet","Turkey","Ankara",,,"Ankara",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Ceylan Şahinli",,"Turkey",,,"Female","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/Ankara9CeylanSahinli.jpeg_c711f832-4707-4735-a933-9b73cf58511c.jpeg","Mezopotamya News Agency","Journalist","Imprisoned","N/A","Imprisoned","Staff","Mezopotamya News Agency","Internet Reporter","Crime, Human Rights, Politics","Internet","Turkey","Ankara",,,"Ankara",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Chan Pui-man",,"China",,,"Female",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Apple Daily","Publisher/Owner","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Internet, Print","China","Hong Kong",,,"Hong Kong",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Chen Jieren",,"China",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Jieren Guancha","Columnist/Commentator, Internet Reporter","Business, Corruption, Politics","Internet","China","Chenzhou City, Hunan Province","Hunan",,"Chenzhou City, Hunan Province",,"Local",,,,,,,,,"Anti-state, Retaliatory",,"10+ Years","No",,,,"15 years",
"2022","Imprisoned","Chen Shuqing",,"China",,,"Male","https://cpj-photos.s3.amazonaws.com/Chen%20Shuqing_China%20Political%20Prisoner%20Concern%20case%2000201-2017-12-18-1513623489511.jpg","China Political Prisoner Concern case 00201","Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Internet Reporter","Human Rights, Politics","Internet","China","Hangzhou, Zhejiang Province",,,"Hangzhou, Zhejiang Province","Zhejiang","Local",,,,,,,,,"Anti-state",,"10+ Years","Yes",,,,"10 years 6 months","Hangzhou, Hangzhou"
"2022","Imprisoned","Cheng Lei",,"Australia",,,"Female",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","China Global Television Network","Broadcast Reporter","Business","Television","China","Beijing",,,"Beijing",,"Foreign",,,,,,,,,"Anti-state",,"Sentence Pending","Yes",,,,"Not sentenced",
"2022","Imprisoned","Cheung Kim-hung",,"China",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Next Digital Limited","Publisher/Owner","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Internet, Print","China","Hong Kong",,,"Hong Kong",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Chung Pui-kuen",,"China",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Stand News","Editor, Internet Reporter","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports","Internet","China","Hong Kong",,,"Hong Kong",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Daler Bobiev (Daler Imomali)",,"Tajikistan",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/DalerImomali%281%29.png_ca0fd7ad-e43b-4f96-badc-dba42a2c1ade.png","Screenshot: Daler Imomali/YouTube","Journalist","Imprisoned","N/A","Imprisoned","Staff","Daler Imomali","Broadcast Reporter, Columnist/Commentator, Internet Reporter, Publisher/Owner","Human Rights","Internet, Radio","Tajikistan","Dushanbe",,,"Dushanbe",,"Local",,,,,,,,,"Anti-state",,"5-10 Years","Yes",,,,"10 years",
"2022","Imprisoned","Dawit Habtemichael",,"Eritrea",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Meqaleh","Editor, Print Reporter, Publisher/Owner","Culture, Politics","Print","Eritrea",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced","Unknown"
"2022","Imprisoned","Dawit Isaak",,"Eritrea","Sweden",,"Male","https://cpj-photos.s3.amazonaws.com/Dawit%20Isaac_Kalle%20Ahlse%CC%81n-2017-12-28-1514482179710.jpg","Kalle Ahlsén","Journalist","Imprisoned","N/A","Imprisoned","Staff","Setit","Editor, Print Reporter, Publisher/Owner","Corruption, Politics","Print","Eritrea",,,,,,"Foreign",,,,,,,,,"No charge disclosed",,"Sentence Pending","Yes",,,,"Not sentenced","Eiraeiro Prison"
"2022","Imprisoned","De Myat Nyein (Myint Myat Aung)",,"Myanmar",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Dimyat-Nyein-Zayar-Time-News-Source-Khit-Tit-Media.jpeg_e27cb685-d474-49f0-b971-723386307b1a.jpeg","Khit Tit Media","Journalist","Imprisoned","N/A","Imprisoned","Staff","Zayar Times","Internet Reporter","Politics","Internet","Myanmar","Sagaing",,,"Sagaing",,"Local",,,,,,,,,"Anti-state, False News",,"1-5 Years","No",,,,"2 years",
"2022","Imprisoned","Deniz Nazlım",,"Turkey",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/Image_1670883921416.jpg_5872f711-3a31-4b77-9d84-f632e9dfb56b.jpeg","Mezopotamya News Agency","Journalist","Imprisoned","N/A","Imprisoned","Staff","Mezopotamya News Agency","Internet Reporter","Crime, Human Rights, Politics","Internet","Turkey","Ankara",,,"Ankara",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
